0,1,3,4
GPL25174,"ID,ControlType,GB_ACC,Gene Description,FGDB#,FGDB description_1,SEQUENCE,SPOT_ID",GB_ACC,genbank
GPL26200,"ID,DESCRIPTION,GENEID,cluster,SPOT_ID,SEQUENCE,CONTIG",,
GPL25955,"ID,SPOT_ID,CONTROL_TYPE,SEQUENCE,DESCRIPTION",,
GPL24619,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION",GENE_SYMBOL,symbol
GPL21519,"ID,Location,Chromosome,Position,Strains,Left_Flank,Reference_Allele,Right_Flank,Major_Allele_Frequency,Minor_Allele_Frequency,Major_Allele,Minor_Allele,Gene_ID,SPOT_ID",,
GPL26164,"ID,ENTREZ_GENE_ID,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL26157,"ID,SPOT_ID",,
GPL25918,"ID,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,DESCRIPTION,SEQUENCE",,
GPL26140,"ID,probeset_id,seqname,strand,start,stop,total_probes,mrna_assignment,category,SPOT_ID,SPOT_ID",,
GPL26121,"ID,Name,Probe_Comment,Annotation (sorbiV3),Closest AT #,Gene ID,Sequence,Row_Column",,
GPL26106,"ID,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,ORF,CHROMOSOMAL_LOCATION,SEQUENCE",ORF,entrez
GPL25510,"ID,Target Strandedness,Probe Type,SPOT_ID",,
GPL26081,"ID,miRNA_ID,Target Seq (5' to 3'),Group,Reporter Control Type,Comment,Reporter Source,Accession No.,SPOT_ID",,
GPL26086,"ID,TRANSCRIPT_TYPE,GB_ACC,SPOT_ID,GENE SYMBOL,SOURCE,BUILD,CHROM,STRAND,txStart,txEnd,GENE DESCRIPTION,SEQUENCE",GENE SYMBOL,symbol
GPL26088,"ID,Description,SPOT_ID",,
GPL26078,"ID,SEQ_UNIQUE,PLASMID,BUILD,FEAT_TYPE,ORF,SECONDARY_NAME,ACCESSION,GI,CHROMOSOME,MAPLOC,DESCRIPTION,COMMENTS,DATE_ENTERED,SOURCE_DB",ORF,entrez
GPL26067,"ID,TRANSCRIPT_TYPE,SPOT_ID,GENE SYMBOL,SOURCE,BUILD,CHROM,STRAND,txStart,txEnd,GENE DESCRIPTION,SEQUENCE",GENE SYMBOL,symbol
GPL26070,"ID,SPOT_ID,Description",,
GPL26040,"ID,SPOT_ID",,
GPL26057,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,SEQUENCE",GENE_SYMBOL,symbol
GPL26058,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,SEQUENCE",GENE_SYMBOL,symbol
GPL26059,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,SEQUENCE",GENE_SYMBOL,symbol
GPL24842,"ID,SEQUENCE,ControlType,ProbeName,GeneName,SystematicName,Description,Row,Col,new_ensebl,new_type,new_symbol,SPOT_ID",,
GPL24208,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,GENE_SYMBOL,ACCESSION_STRING,SEQUENCE",GENE_SYMBOL,symbol
GPL24985,"ID,SEQUENCE",,
GPL25964,"ID,SEQUENCE,SPOT_ID",,
GPL21364,"ID,PROBE_SEQUENCE,SPOT_ID",,
GPL24575,"ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION",GENE_SYMBOL,symbol
GPL24311,"ID,CONTROL_TYPE,GENOME_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CHROMOSOME,RANGE_GB,RANGE_START,RANGE_END,DESCRIPTION,SPOT_ID",GENE_SYMBOL,symbol
GPL24444,"ID,ProbeName,Genbank ID,Description,SEQUENCE,GB LIST,SPOT_ID",,
GPL24445,"ID,Gene Symbol,ProbeName,SEQUENCE,ORF,Description,SPOT_ID",Gene Symbol,symbol
GPL23391,"ID,SPOT_ID,Index,Address,Chr,Position,IlmnStrand,SNP,Allele_ProbeSeq,GenTrain.Score,Frac.A,Frac.C,Frac.G,Frac.T",,
GPL24967,"ID,miRNA_ID,SPOT_ID",,
GPL25012,"ID,SEQUENCE,GB_ACC",GB_ACC,genbank
GPL25617,"ID,Probeset ID,Affymetrix SNP ID,Chromosome,Physical position,Chromosome custom ID,Flanking sequence,Allele_A,Allele_B",,
GPL25500,"ID,GB_ACC,ORF",GB_ACC,genbank
GPL24626,"ID,symbol,description,ORF",ORF,entrez
GPL23111,"ID,miRNA_ID",,
GPL25968,"ID,ORF,ACCESSION|BUILD|FEAT_TYPE|CHROMOSOME|START|STOP|DESCRIPTION|SEQ_URL",ORF,entrez
GPL23599,"ID,miRNA_ID_LIST",,
GPL25961,"ID,Row,Col,chr_coord,SubTypeMask,SubTypeName,Start,SEQUENCE,ProbeUID,ControlType,ProbeName,GeneName,SPOT_ID",,
GPL25940,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL25941,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL25948,"ID,ORF",ORF,entrez
GPL25953,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL24314,"ID,Probe ID,TargetID,TRANSCRIPT,GB_ACC,ORF,SEQUENCE,DEFINITION,SPOT_ID",GB_ACC,genbank
GPL24170,"ID,Chromosome,Start,Stop,GeneSymbol,GB_ACC,SPOT_ID,SEQUENCE",GB_ACC,genbank
GPL25924,"ID,IlmnID,IlmnStrand,SNP,AddressA_ID,SEQUENCE,AddressB_ID,SEQUENCE,GenomeBuild,Chr,MapInfo,Ploidy,Species,Source,SourceVersion,SourceStrand,SourceSeq,TopGenomicSeq,BeadSetID,Exp_Clusters,RefStrand",,
GPL25915,"ID,TRANSCRIPT_TYPE,ACC,ORF,SOURCE,BUILD,CHROM,STRAND,txStart,txEnd,GENE DESCRIPTION,SEQUENCE",ORF,entrez
GPL25916,"ID,TRANSCRIPT_TYPE,ACC,ORF,SOURCE,BUILD,CHROM,STRAND,txStart,txEnd,GENE DESCRIPTION,SEQUENCE",ORF,entrez
GPL24773,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL22794,"ID,Block,Column,Row,Name,SEQUENCE,Cglutamicum_Gene_Annotation,ORF,SPOT_ID",ORF,entrez
GPL22823,"ID,SPOT_ID,SEQUENCE,Description",,
GPL23003,"ID,Block,Column,Row,Name,SEQUENCE,Annotation,ORF,SPOT_ID",ORF,entrez
GPL25003,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL21197,"ID,SEQUENCE",,
GPL25866,"ID,miRNA_accession,miRNA_ID",,
GPL25865,"ID,Name,miRNA_ID_LIST,SPOT_ID",,
GPL22725,"ID,SPOT_ID,CONTROL_TYPE,REFSEQ,GB_ACC,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,UNIGENE_ID,ENSEMBL_ID,ACCESSION_STRING,CHROMOSOMAL_LOCATION,DESCRIPTION,SEQUENCE",GENE_SYMBOL,symbol
GPL25853,"ID,ENTREZ_GENE_ID,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL25848,"ID,SPOT_ID,CONTROL_TYPE,ORF,CHROMOSOMAL_LOCATION,SEQUENCE",ORF,entrez
GPL24373,"ID,CLONE_ID,GB_ACC,Gene symbol,SEQUENCE",GB_ACC,genbank
GPL24378,"ID,GB_LIST,transcription id,gene Name,chromosome position(strand),database source,SPOT_ID",,
GPL25309,"ID,ORF,SPOT_ID",ORF,entrez
GPL23952,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL25200,"ID,ProbeName,Description,ControlType,Evalue,Frame,RefSeqAccession,ProbeID,SEQUENCE,SPOT_ID",,
GPL25816,"ID,ME,COL,ROW,SPOT_ID,CONTROL_TYPE,ORF,CHROMOSOMAL_LOCATION,SEQUENCE",ORF,entrez
GPL25797,"ID,NAME,COL,ROW,SPOT_ID,CONTROL_TYPE,REFSEQ,ORF,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,UNIGENE_ID,ENSEMBL_ID,TIGR_ID,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION,GO_ID,SEQUENCE",GENE_SYMBOL,symbol
GPL25795,"ID,NAME,COL,ROW,SPOT_ID,CONTROL_TYPE,REFSEQ,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,UNIGENE_ID,ENSEMBL_ID,TIGR_ID,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION,GO_ID,SEQUENCE",GENE_SYMBOL,symbol
GPL24252,"ID,ORF,SPOT_ID",ORF,entrez
GPL24267,"ID,ORF,Gene Symbol,Gene Title,Gene Ontology Biological Process,Gene Ontology Cellular Component,Gene Ontology Molecular Function,SPOT_ID",Gene Symbol,symbol
GPL25009,"ID,ROW,COL,SEQUENCE,CONTROL_TYPE,PROBE_NAME,ORF,SPOT_ID",ORF,entrez
GPL24440,"ID,cDNA No.,Description,GB_ACC,Symbol,SPOT_ID,SEQUENCE",GB_ACC,genbank
GPL22732,"ID,SEQUENCE,Reporter Group[role],SPOT_ID,Composite Element Name",,
GPL25758,"ID,TRANSCRIPT_TYPE,ACC,GENE SYMBOL,SOURCE,BUILD,CHROM,RANGE_GB,STRAND,RANGE_START,RANGE_END,GENE DESCRIPTION,SEQUENCE",GENE SYMBOL,symbol
GPL25759,"ID,TRANSCRIPT_TYPE,ACC,GENE SYMBOL,SOURCE,BUILD,CHROM,RANGE_GB,SPOT_ID,STRAND,RANGE_START,RANGE_END,GENE DESCRIPTION,SEQUENCE",GENE SYMBOL,symbol
GPL25635,"ID,M19_hsa_miRNA_name,miRNA_ID,M19_hsa_miRNA_sequence,miRNANameCombination,SEQUENCE",,
GPL25688,"ID,SEQUENCE,SPOT_ID,ORF",ORF,entrez
GPL25747,"ID,COL,ROW,NAME,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CHROMOSOME,RANGE_GB,RANGE_START,RANGE_END,DESCRIPTION,SPOT_ID",GENE_SYMBOL,symbol
GPL25734,"ID,ENTREZ_GENE_ID,Description,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL25740,"ID,SPOT_ID",,
GPL25741,"ID,SPOT_ID",,
GPL25690,"ID,GB ACC,GENE_SYMBOL,SEQUENCE",GENE_SYMBOL,symbol
GPL25629,"ID,Feature postion,SPOT_ID",,
GPL25684,"ID,chr,start,end,strand,symbol,geneDescription,EnsemblGeneID,geneBiotype,FeatureNum,SPOT_ID",,
GPL25685,"ID,ENTREZ_GENE_ID,Description,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL24315,"ID,Agilent_probe_name,Gene ID,Refseq ID,GenBank Accession,GB_ACC,Gene Symbol,Gene Description,Chromosome Number,Chromosome Map Location,SEQUENCE,SPOT_ID",GB_ACC,genbank
GPL25663,"ID,TargetID,GeneID,Description,type,NONCODE2016,paper_lncRNA,lncrnadb,chrom,start,end,strand,circID,circRNA_gene symbol,circRNA_genomic length,seqID,circRNA junction_seq,SPOT_ID",,
GPL25650,"ID,ROW,COL,SEQUENCE,PROBENAME,SPOT_ID",,
GPL22792,"ID,Block,Column,Row,Name,SEQUENCE,Cglutamicum_Gene_Annotation,ORF,SPOT_ID",ORF,entrez
GPL24783,"ID,ACCESSION,RANGE_GB,RANGE_START,RANGE_END,GENE_ID,GENE_NAME,FUNCTION,DESCRIPTION",,
GPL22549,"ID,SEQUENCE,GENE_ID,ORF,GENE_SYMBOL,RANGE_GB,RANGE_START,RANGE_END,SPOT_ID",GENE_SYMBOL,symbol
GPL25636,"ID,Description,SPOT_ID",,
GPL25630,"ID,SEQUENCE,SPOT_ID",,
GPL23823,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ORF,GB_RANGE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,DESCRIPTION,SEQUENCE",ORF,entrez
GPL25556,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL24910,"ID,GeneName,ORF,ORF,SPOT_ID",ORF,entrez
GPL22654,"ID,ENTREZ_GENE_ID,UNIGENE,Gene_Symbol,Description,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL25481,"ID,miRNA_ID,Class Name",,
GPL24237,"ID,TARGET_ID,SEQUENCE",,
GPL25622,"ID,miRNA_ID,Annotation.1,Annotation.2,Annotation.3",,
GPL25612,"ID,PROBE_ID,SEQUENCE,GB_LIST,SPOT_ID",,
GPL25606,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION",GENE_SYMBOL,symbol
GPL25586,"ID,Name,miRNA_ID_LIST,SPOT_ID",,
GPL25591,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,REFSEQ,GB_ACC,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,UNIGENE_ID,ENSEMBL_ID,TIGR_ID,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION,GO_ID,SEQUENCE",GENE_SYMBOL,symbol
GPL25530,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL25577,"ID,Description,ENTREZ_GENE_ID,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL25568,"ID,CONTROL_TYPE,CHROMOSOMAL_LOCATION,SPOT_ID",,
GPL25548,"ID,GB_ACC,UNIGENE_ID,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,ENSEMBL_ID,ACCESSION_STRING,GO_ID,SPOT_ID",GENE_SYMBOL,symbol
GPL25538,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL25539,"ID,SystematicName,ORF,OLD_LOCUS_TAG,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",ORF,entrez
GPL24082,"ID,SPOT_ID,Splicing Event,Path",,
GPL25513,"ID,miRNA_ID,SPOT_ID",,
GPL25499,"ID,SEQUENCE,SPOT_ID,GENE_FUNC,GO_CLASS,SPOT_ID",,
GPL25448,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,GB_ACC,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION,SEQUENCE",GENE_SYMBOL,symbol
GPL24969,"ID,COL,ROW,SPOT_ID,CONTROL_TYPE,ACCESSION,GENE_SYMBOL,GENE_NAME,ACCESSION_STRING,CHROMOSOMAL_LOCATION,DESCRIPTION",GENE_SYMBOL,symbol
GPL23947,"ID,SEQUENCE",,
GPL25487,"ID,SPOT_ID,Description",,
GPL25480,"ID,FLAG,SEQUENCE,SPOT_ID",,
GPL25471,"ID,meta_row,meta_col,row1,col,GB_ACC,Name,Symbol,SPOT_ID",GB_ACC,genbank
GPL23032,"ID,ORF,NAME,DESCRIPTION,SPOT_ID,SEQUENCE,PROBE",ORF,entrez
GPL25454,"ID,TRANSCRIPT_TYPE,BUILD,SEQUENCE,SPOT_ID",,
GPL24500,"ID,SPOT_ID,Ensembl Transcript ID,Description",,
GPL25306,"ID,SEQ_ID,CHROMOSOME,RANGE_GB,RANGE_START,NUMBER,LENGTH,GC",,
GPL22201,"ID,Name,SNP_ID,IlmnStrand,SNP,AddressA_ID,AddressB_ID,GenomeBuild,Chr,MapInfo,Ploidy,Species,CustomerStrand,IlmnStrand,SPOT_ID",,
GPL23035,"ID,SPOT_ID",,
GPL23826,"ID,SEQUENCE,Dm target,Common Name,Dapma7 Name,Dros nr name,Dm target,Dapma7bEV_primary trans tophit ID,Dapma7bEV_alt trans tophit ID,Dapma7 geneID,Dapma7 Name,Dapma7 ortholog,Dapma7 Dbxref,Dapma7 location primary transcript,VDmagna 15k Tophit,SPOT_ID",,
GPL25406,"ID,ORF,GENE_ID,GENOME_ACC,FUNCTION",ORF,entrez
GPL24047,"ID,SPOT_ID",,
GPL23881,"ID,Row,Col,ControlType,ProbeName,GeneName,annotation_autofact,annotation_nr,Sequence,SPOT_ID",,
GPL25381,"ID,SPOT_ID,Description",,
GPL25370,"ID,SPOT_ID,CONTROL_TYPE,ORF,ACCESSION_STRING,CHROMOSOMAL_LOCATION,DESCRIPTION,SEQUENCE",ORF,entrez
GPL25371,"ID,SPOT_ID,Description",,
GPL25373,"ID,ENTREZ_GENE_ID,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL24395,"ID,SPOT_ID,IlmnID,IlmnStrand,SNP,AddressA_ID,AlleleA_ProbeSeq,AddressB_ID,AlleleB_ProbeSeq,GenomeBuild,Chr,MapInfo,Ploidy,Species,Source,SourceVersion,SourceStrand,SourceSeq,TopGenomicSeq,BeadSetID,Exp_Clusters,RefStrand",,
GPL25361,"ID,SPOT_ID,Entrez Gene",Entrez Gene,entrez
GPL24627,"ID,GeneName,ORF,GENE_ID,SYMBOL,DESCRIPTION,OTHER_DESIGNATIONS,SPOT_ID",ORF,entrez
GPL25345,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL25336,"ID,SPOT_ID,ORF,Description",ORF,entrez
GPL17471,"ID,CHROMOSOME,RANGE_GB,RANGE_START,RANGE_END,LENGTH,SEQUENCE",,
GPL25318,"ID,Ensembl Version,Ensembl Genome Version,Orientation,Probeset mapping position,Ensembl Gene ID,Gene Symbol,Chromosomal location,Strand,Gene Description,Entrez Gene,SPOT_ID",Entrez Gene,entrez
GPL25310,"ID,miRNA_ID,SEQUENCE,MIMAT ID",,
GPL25298,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,REFSEQ,GB_ACC,LOCUSLINK_ID,GENE_SYMBOL,GENE_NAME,UNIGENE_ID,ENSEMBL_ID,ACCESSION_STRING,CHROMOSOMAL_LOCATION,CYTOBAND,DESCRIPTION,GO_ID,SEQUENCE,SPOT_ID",GENE_SYMBOL,symbol
GPL25286,"ID,SPOT_ID",,
GPL25261,"ID,Gene ID,ProbeName,SPOT_ID,Description",,
GPL23660,"ID,Row,Column,SPOT_ID,SEQUENCE",,
GPL24872,"ID,SEQUENCE,SPOT_ID,ORF",ORF,entrez
GPL23578,"ID,miRNA_ID,miRNA_ID_LIST,Chromosome,SPOT_ID",,
GPL23988,"ID,ORF,SPOT_ID,ProbeName,SEQUENCE,description",ORF,entrez
GPL24837,"ID,ORF",ORF,entrez
GPL25245,"ID,Row,Col,Sequence,ProbeUID,ControlType,ProbeName,GeneName,SystematicName,Description,SPOT_ID",,
GPL25242,"ID,ProbeName,SystematicName,ORF,Description,SEQUENCE,SPOT_ID",ORF,entrez
GPL22075,"ID,ORF",ORF,entrez
GPL25201,"Download family,SOFT formatted family file(s),MINiML formatted family file(s)",,
GPL25054,"ID,SPOT_ID,CONTROL_TYPE,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL21987,"ID,miRNA_ID,sequence,Reporter Control Type",,
GPL24915,"ID,GB_ACC,SPOT_ID",GB_ACC,genbank
GPL24507,"ID,SPOT_ID",,
GPL24205,"ID,GB_ACC,GenbankID,GB_RANGE,Symbol,ENTREZ_GENE_ID,Description,ControlType,SEQUENCE,SPOT_ID",ENTREZ_GENE_ID,entrez
GPL25141,"ID,ProbeName,GeneName,SEQUENCE,ORF_LIST,SPOT_ID,ORDER",,
GPL23467,"ID,SPOT_ID,CONTROL_TYPE,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL23590,"ID,COL,ROW,NAME,CONTROL_TYPE,ACCESSION_STRING,SEQUENCE,GENE_ID,SPOT_ID",,
GPL23591,"ID,COL,ROW,NAME,CONTROL_TYPE,ACCESSION_STRING,SEQUENCE,GENE_ID,SPOT_ID",,
GPL23636,"ID,ORF,ProbeName,SEQUENCE,Description",ORF,entrez
GPL25134,"ID,miRNA_ID,SPOT_ID",,
GPL19834,"ID,Name,Oligo ID,SEQUENCE,Primary Strain,ORF,Common Name of Primary Target,Gene Symbol",Gene Symbol,symbol
GPL24563,"ID,SEQUENCE,ProteinDescription,SPOT_ID",,
GPL25057,"ID,SPOT_ID",,
GPL25132,"ID,miRNA_ID",,
GPL25039,"ID,Target ID,Gene,SPOT_ID,SEQUENCE",,
GPL23593,"ID,ProbeName,SPOT_ID",,
GPL24566,"ID,SPOT_ID",,
GPL25007,"ID,CONTIG_ID,CONTROL_TYPE,CHROMOSOMAL_LOCATION,SEQUENCE,SPOT_ID",,
GPL24523,"ID,SPOT_ID,GENE SYMBOL,ORF,PRODUCT,DESCRIPTION,SEQUENCE",GENE SYMBOL,symbol
GPL24931,"ID,Description,SPOT_ID",,
GPL24408,"ID,SEQUENCE",,
GPL24768,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,REFSEQ,GB,ACCESSION_STRING,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL23500,"ID,Row,Col,ProbeUID,ProbeName,Plate384,plate row,plate Column,OligoName,Description,GeneName,ORF,SPOT_ID,Sequence",ORF,entrez
GPL24989,"ID,SPOT_ID,Description",,
GPL23100,"ID,SPOT_ID",,
GPL24324,"ID,probeset_id,seqname,strand,start,stop,total_probes,category,SPOT_ID,SPOT_ID",,
GPL24966,"ID,SPOT_ID,SEQUENCE",,
GPL24978,"ID,COL,ROW,NAME,SPOT_ID,CONTROL_TYPE,CHROMOSOMAL_LOCATION,SEQUENCE",,
GPL23104,"ID,Affy SNP ID,dbSNP RS ID,Chromosome,Physical Position,Strand,Flank,Allele A,Allele B,snid,mut_id,customer_priority,customer_chr,customer_pos,ChrX pseudo-autosomal region 1,ChrX pseudo-autosomal region 2,Genetic Map,SPOT_ID",,
GPL23106,"ID,Affy SNP ID,dbSNP RS ID,Chromosome,Physical Position,Strand,Flank,Allele A,Allele B,cust_id,cust_chr,cust_pos,ChrX pseudo-autosomal region 1,ChrX pseudo-autosomal region 2,Genetic Map,SPOT_ID",,
GPL21854,"ID,Name,miRNA_ID_LIST,SPOT_ID",,
